Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:70500000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
70500000;1;01/08/2020;;1;1;138,103;4,252;16,296;15;11;1;1;1;;0;9,646;9,153;8,67;7,964;7,508;7,062;6,626;6,202;5,19;4,618;4,252;5,19;11,992;22,223;138,103;45,279;28,04;17,898;32,344;21,192;17,266;14,242;11,721;10,15;9,398;8,91;8,197;7,508;6,626;6,202;5,789;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70500000;1;01/07/2020;;1;1;141,355;7,508;29,344;8;27;1;1;1;;0;21,877;16,954;17,898;39,029;22,223;48,541;82,925;141,355;55,827;31,543;22,571;49,014;37,312;26,165;21,534;49,014;27,661;20,516;15,725;12,818;11,453;10,406;9,897;9,398;8,432;7,964;7,508;17,581;39,029;16,029;11,453;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70500000;1;01/06/2020;;1;1;;;;;;0;0;0;;0;;;;;;4,252;4,618;2,605;1,775;0,974;18,218;10,406;7,508;5,387;3,897;3,555;3,225;2,605;2,174;1,775;1,527;1,294;1,077;0,974;1,905;9,153;6,842;5,789;8,91;40,778;;0;0;0;0;0;;;;;3;;;;;;;;;;;;;;;;;;;;;0;
70500000;1;01/05/2020;;1;1;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0,376;0,192;0,098;0,061;0,031;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;
70500000;1;01/04/2020;;1;1;;;;;;0;0;0;;0;;;;;;;0,376;0,376;0,248;0,142;0,031;;;0,605;0,376;0,142;0,061;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70500000;1;01/03/2020;;1;1;;;;;;0;0;0;;0;3,388;2,908;2,605;2,038;1,775;1,527;1,294;1,184;1,077;0,974;0,875;0,691;0,524;0,376;0,248;0,192;1,905;1,184;0,781;0,605;0,448;0,376;0,192;0,142;0,061;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;
70500000;1;01/02/2020;;1;1;;;;;;0;0;0;;0;0,376;0,31;0,524;4,252;2,174;1,409;2,174;1,294;0,974;1,294;0,781;0,524;0,192;0,376;0,31;0,248;0,142;0,098;0,061;0,031;;;;;;;5,387;4,433;3,555;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;
70500000;1;01/01/2020;;1;1;14,828;0,248;2,006;11;9;1;1;1;;0;0,781;0,691;0,605;0,605;0,524;0,448;0,376;0,31;0,248;0,691;14,828;5,587;2,605;1,905;1,527;8,432;5,789;3,555;2,038;1,294;1,184;0,974;0,781;0,691;0,605;0,524;0,376;0,31;2,605;0,781;0,524;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70500000;1;01/12/2019;;1;1;13,098;0,448;3,039;16;31;3;3;3;;0;2,755;2,605;2,314;2,038;1,905;1,775;1,649;1,775;1,775;1,527;1,409;1,649;1,649;1,294;1,184;13,098;10,664;9,398;8,197;6,842;4,806;3,388;2,314;1,775;1,527;1,294;1,077;0,875;0,691;0,524;0,448;;;;;;;;;;;;;;;;3;3;3;;;;;;;;;;;;;;
70500000;1;01/11/2019;;1;1;201,655;3,065;20,214;5;26;1;1;1;;0;36,464;22,223;14,828;11,992;201,655;74,355;33,56;26,536;21,534;18,539;25,429;13,665;10,924;10,924;10,664;10,406;9,897;7,062;4,618;4,252;4,073;3,724;3,555;3,388;3,225;3,065;4,997;4,073;3,555;3,225;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
70500000;1;01/10/2019;;1;1;137,563;1,409;13,913;31;1;1;1;1;;0;1,409;2,314;3,724;2,605;4,618;9,398;12,818;8,432;4,433;3,065;2,314;2,038;1,905;4,073;14,534;31,943;39,029;17,898;12,54;9,398;12,818;11,188;7,062;6,413;5,387;4,997;6,202;29,19;13,098;8,91;137,563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70500000;1;01/09/2019;;1;1;13,38;1,184;3,06;20;18;1;1;1;;0;2,908;2,314;2,038;1,775;1,649;2,605;7,735;5,19;3,388;2,605;2,174;2,038;2,038;1,775;1,649;1,527;1,294;1,184;4,618;13,38;6,413;4,433;3,388;2,605;2,174;2,038;1,905;1,775;1,649;1,527;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
70500000;1;01/08/2019;;1;1;4,997;1,294;2,596;2;30;1;1;1;;0;4,252;4,997;4,618;3,897;3,555;3,225;3,065;3,065;2,908;2,755;2,755;2,605;2,458;2,458;2,314;2,174;2,038;1,905;2,755;2,605;2,458;2,314;2,174;2,038;1,905;1,775;1,649;1,527;1,409;1,294;1,527;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70500000;1;01/07/2019;;1;1;221,846;4,618;24,352;3;29;1;1;1;;0;57,332;139,185;221,846;72,685;30,358;19,518;13,953;11,453;9,646;8,91;8,432;7,735;7,062;9,897;22,92;16,335;11,188;8,91;7,964;6,842;5,789;5,387;4,997;4,806;6,626;8,67;6,842;5,19;4,618;5,19;4,618;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
70500000;1;01/06/2019;;1;1;33,152;3,555;7,953;1;25;2;2;2;;0;33,152;20,181;14,534;12,264;10,924;9,897;8,91;7,964;7,508;7,283;7,062;6,842;6,626;6,202;5,789;5,387;5,19;4,997;4,618;4,433;4,433;4,252;4,073;3,897;3,555;4,997;7,062;5,994;5,19;5,387;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;0;
70500000;1;01/05/2019;;1;1;140,812;5,19;31,862;31;3;1;1;1;;0;6,842;5,789;5,19;19,189;13,098;19,848;14,242;9,897;8,197;7,283;18,539;84,684;33,969;39,029;18,539;13,38;11,721;10,406;7,062;8,197;7,283;12,264;83,51;96,155;56,327;26,165;52,376;29,19;20,181;108,348;140,812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
