Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86410000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86410000;1;01/08/2019;;1;1;38,677;11,585;23,257;4;28;1;1;1;;0;36,033;28,629;35,515;38,677;36,033;30,046;27,702;26,339;25,891;24,138;21,615;22,86;32,479;27,244;30,046;27,244;17,33;20,006;20,006;22,026;18,837;16,238;21,615;13,163;13,163;14,834;12,205;11,585;16,962;15,179;17,33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/07/2019;;1;1;333,238;25,448;80,229;3;28;1;1;1;;0;294,403;185,644;333,238;278,179;151,385;112,177;90,988;77,842;53,82;68,438;62,933;54,449;41,407;47,72;51,954;60,262;41,964;41,407;39,758;40,305;39,758;38,141;38,141;26,79;28,629;36,555;25,891;25,448;28,164;31,009;40,305;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/06/2019;;1;1;294,403;35;72,256;1;25;1;1;1;;0;294,403;184,597;145,633;123,532;108,772;94,778;85,459;82,372;74,888;69,848;71,988;67,739;50,119;55,717;47,72;47,72;44,799;40,854;42,524;42,524;40,305;38,677;37,609;35,515;35;40,854;45,957;42,524;39,216;36,033;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/05/2019;;1;1;424,471;16,598;119,203;28;10;1;1;1;;0;46,541;42,524;39,758;38,677;36,555;35;30,526;31,986;22,86;16,598;114,758;209,286;162,161;120,872;108,772;88,598;71,988;56,999;60,262;53,82;48,913;45,376;49,514;68,438;312,285;189,858;123,532;424,471;386,273;239,837;418,243;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/04/2019;;1;1;81,609;16,598;36,53;17;4;1;1;1;;0;22,026;18,076;17,33;16,598;17,701;26,339;25,448;37,609;35,515;29,098;18,837;30,046;21,615;25,007;18,837;40,854;81,609;60,262;50,119;38,677;38,141;34,489;38,141;37,08;34,489;27,702;49,514;81,609;70,558;52,573;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/03/2019;;1;1;69,848;14,492;29,182;23;7;1;1;1;;0;37,08;36,033;18,837;23,708;22,86;22,441;14,492;20,803;35;47,129;31,009;25,891;25,891;17,33;19,223;26,79;16,238;25,448;36,033;43,655;37,609;23,708;69,848;50,119;34,489;25,891;24,571;29,098;20,403;26,79;16,238;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/02/2019;;1;1;91,598;13,49;31,023;26;9;1;1;1;0;0;22,026;32,976;30,046;35;23,282;31,009;20,803;29,098;13,49;14,834;24,138;35,515;36,033;18,076;25,007;35;28,164;31,986;26,339;24,138;27,702;18,076;20,803;21,615;50,728;91,598;56,356;44,799;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
86410000;1;01/01/2019;;1;1;221,531;26,339;60,525;18;28;1;1;1;;0;45,376;38,141;35,515;49,514;42,524;37,08;35;35;43,655;40,305;60,262;75,622;81,609;69,848;65,659;83,909;77,842;221,531;155,269;94,778;77,842;58,946;56,356;48,913;45,957;41,964;39,758;26,339;26,79;32,976;31,986;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/12/2018;;1;1;456,277;42,524;90,466;1;17;1;1;1;;0;456,277;237,516;155,269;119,112;98,813;88,598;76,359;70,558;62,26;59,602;53,195;49,514;46,541;44,799;49,514;43,655;42,524;45,376;60,925;71,272;66,349;132,563;99,629;71,272;60,262;73,432;119,991;80,092;60,262;55,082;53,82;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/11/2018;;1;1;390,765;43,088;118,826;4;17;1;1;1;;0;278,179;174,254;167,157;390,765;213,706;131,648;104,576;89,391;77,842;71,272;64,289;62,26;51,954;56,999;61,591;47,129;43,088;77,842;132,563;89,391;67,042;56,356;50,728;127,113;146,585;102,916;77,099;58,294;127,113;365,64;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
