Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86420000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86420000;1;01/04/2020;;1;1;1,143;0,16;0,395;7;24;1;1;1;;0;0,235;0,322;0,277;0,235;0,235;0,778;1,143;0,917;0,917;0,846;0,778;0,649;0,588;0,474;0,421;0,277;0,235;0,235;0,235;0,235;0,235;0,235;0,235;0,16;0,16;0,16;0,16;0,16;0,16;0,16;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/03/2020;;1;1;0,917;0,235;0,477;1;23;1;1;1;;0;0,917;0,846;0,778;0,649;0,649;0,649;0,649;0,649;0,649;0,649;0,649;0,588;0,529;0,529;0,421;0,322;0,322;0,37;0,588;0,474;0,421;0,37;0,235;0,235;0,235;0,235;0,235;0,235;0,235;0,235;0,235;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/02/2020;;1;1;3,491;0,588;1,142;26;24;1;1;1;0;0;1,657;1,566;1,566;1,39;1,306;1,223;1,223;1,223;1,223;1,143;0,99;0,917;0,846;0,778;0,778;0,778;0,917;0,917;0,917;0,917;0,778;0,778;0,649;0,588;0,588;3,491;1,75;1,223;0,99;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
86420000;1;01/01/2020;;1;1;4,325;1,223;1,583;28;1;1;1;1;;0;1,223;1,223;1,223;1,223;1,223;1,223;1,223;1,223;1,223;1,223;2,088;2,088;1,75;1,39;1,223;2,243;2,243;1,566;1,306;1,223;1,223;1,306;1,223;1,223;1,223;1,223;1,566;4,325;2,572;2,088;1,75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/12/2019;;1;1;3,691;1,223;2,552;1;31;1;1;1;;0;3,691;3,296;3,296;3,296;3,107;2,745;2,923;3,296;3,107;2,923;2,572;2,572;2,923;2,572;2,745;3,296;2,923;2,923;2,572;2,572;2,572;2,243;2,088;1,943;1,943;1,75;1,566;1,566;1,477;1,39;1,223;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/11/2019;;1;1;68,21;4,108;18,344;5;29;1;1;1;;0;29,434;20,976;15,475;19,073;68,21;45,451;45,451;54,077;43,587;34,139;22,139;17,585;14,427;13,061;11,733;10,443;9,503;8,588;7,991;7,119;6,834;5,998;5,743;5,009;5,009;5,009;5,248;4,776;4,108;4,108;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/10/2019;;1;1;44,516;1,566;13,891;31;2;1;1;1;0;0;1,75;1,566;5,493;8,89;30,276;35,893;20,591;13,74;10,127;7,991;7,119;6,26;5,493;6,26;5,743;5,998;15,475;30,7;23,714;11,733;17,585;16,128;11,733;10,127;7,991;7,119;9,503;19,829;16,489;14,774;44,516;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/09/2019;;1;1;10,762;1,75;3,116;7;30;1;1;1;;0;4,108;3,691;2,923;2,243;1,943;5,009;10,762;4,776;4,108;3,691;3,296;2,745;2,572;2,405;2,088;1,943;2,243;2,572;2,572;3,296;4,108;3,296;2,745;2,572;2,243;1,943;1,943;1,943;1,943;1,75;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/08/2019;;1;1;5,493;1,943;3,133;2;25;1;1;1;;0;4,108;5,493;5,248;5,009;4,548;4,108;4,108;4,108;3,691;3,296;3,296;3,296;3,296;2,923;2,923;2,745;2,572;2,572;2,572;2,572;2,572;2,243;2,243;2,243;1,943;1,943;1,943;1,943;1,943;1,943;3,691;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/07/2019;;1;1;46,39;3,296;8,352;1;28;1;1;1;;0;46,39;24,511;24,112;17,585;13,74;11,406;9,195;7,991;7,119;6,26;5,998;5,493;5,009;5,493;5,248;5,009;4,325;4,108;4,108;4,108;4,108;3,691;3,897;4,108;3,897;3,691;3,491;3,296;3,296;4,108;4,108;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/06/2019;;1;1;25,316;3,691;7,453;1;24;1;1;1;;0;25,316;19,45;15,475;13,061;11,733;10,443;9,503;8,588;7,991;7,119;6,834;5,998;5,998;5,998;5,493;5,009;5,009;4,548;4,325;4,108;4,108;4,108;3,897;3,691;3,691;4,776;4,776;4,108;4,108;4,325;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/05/2019;;1;1;46,39;4,108;14,723;28;7;1;1;1;;0;7,119;6,26;5,743;5,493;4,776;5,009;4,108;4,108;4,108;9,503;18,698;17,585;16,489;15,475;12,392;10,127;8,588;7,991;7,119;6,26;6,26;7,119;7,119;30,276;44,516;21,361;18,325;46,39;33,704;31,124;33,271;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/04/2019;;1;1;19,829;1,943;4,928;28;4;1;1;1;;0;2,405;2,243;2,243;1,943;1,943;2,572;3,296;3,107;2,745;2,572;2,572;2,405;2,243;1,943;1,943;5,998;6,834;5,743;5,009;5,009;4,548;4,108;3,691;3,296;2,923;1,943;19,073;19,829;14,774;8,89;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/03/2019;;1;1;7,698;2,405;3,63;19;15;1;1;1;;0;5,009;4,325;3,691;3,296;2,572;2,572;2,572;2,572;4,325;3,897;2,923;2,572;2,572;2,572;2,405;2,405;3,691;4,548;7,698;5,743;5,009;5,009;5,009;4,776;3,897;3,296;3,107;2,745;2,572;2,572;2,572;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/02/2019;;1;1;16,489;1,943;4,28;25;24;3;3;3;0;0;4,108;4,325;4,108;4,108;3,296;3,296;3,296;3,296;3,296;3,491;3,897;3,296;3,296;3,296;3,296;3,296;3,107;2,923;2,923;2,745;2,572;2,405;2,243;1,943;16,489;12,061;7,698;5,743;;;;;;;;;;;;;;3;3;3;;;3;3;;;;;;;;;;;;0;0;0;
86420000;1;01/01/2019;;1;1;24,511;4,108;9,394;18;31;1;1;1;;0;5,493;5,009;5,009;7,698;6,26;5,743;5,009;5,493;9,195;9,814;11,406;14,427;13,399;12,392;10,762;14,082;18,325;24,511;18,325;15,475;12,726;9,814;7,991;7,119;6,26;5,998;5,248;5,009;4,776;4,325;4,108;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/12/2018;;1;1;52,127;5,009;11,543;1;17;1;1;1;;0;52,127;31,979;22,139;16,853;14,082;12,061;10,127;9,503;8,588;8,288;7,407;7,119;7,119;6,26;5,998;5,493;5,009;5,009;5,009;8,89;11,406;11,083;8,89;8,288;8,588;10,443;15,475;12,061;8,288;7,119;7,119;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/11/2018;;1;1;41,743;5,998;15,529;30;17;1;1;1;;0;33,704;22,139;26,944;39,015;22,53;16,489;13,74;11,733;10,443;9,195;8,588;7,991;7,119;7,119;7,119;6,553;5,998;16,853;17,218;11,083;9,195;7,991;7,119;22,923;19,073;14,082;12,061;11,406;18,698;41,743;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/10/2018;;1;1;74,513;5,998;20,936;3;25;1;1;1;;0;10,127;27,768;74,513;52,127;24,511;18,325;15,123;12,061;14,774;26,127;16,853;26,944;43,587;23,714;17,585;13,74;11,733;10,762;11,083;9,195;8,288;7,407;7,119;6,26;5,998;8,288;44,516;28,598;16,489;12,726;42,662;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/09/2018;;1;1;58,029;6,553;17,975;2;12;1;1;1;0;0;40,828;58,029;53,1;42,662;29,854;22,139;18,698;16,853;14,082;11,733;10,443;6,553;8,288;11,406;13,74;14,082;13,061;20,591;15,475;12,392;11,083;9,195;8,288;9,814;12,061;15,123;11,733;10,443;9,195;8,288;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/08/2018;;1;1;28,598;4,108;10,858;25;19;1;1;1;0;0;10,443;9,503;9,503;10,443;9,195;8,288;7,119;8,89;11,406;9,195;7,407;7,119;6,26;5,998;5,493;5,009;5,009;4,776;4,108;8,89;27,768;23,714;16,853;17,218;28,598;17,585;12,726;11,083;9,814;8,588;8,588;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/07/2018;;1;1;76,645;5,009;13,8;26;14;1;1;1;0;0;12,726;10,762;9,814;11,733;17,585;12,726;10,443;9,195;8,288;7,407;6,834;5,998;5,493;5,009;5,009;5,743;13,399;8,89;7,407;7,119;6,26;5,998;5,248;5,009;32,839;76,645;42,662;25,721;18,325;15,123;12,392;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/06/2018;;1;1;23,714;3,296;7,209;13;9;1;1;1;0;0;3,491;6,553;4,776;4,108;4,776;4,108;4,108;3,691;3,296;3,296;4,548;13,399;23,714;12,726;10,127;8,89;7,407;5,998;5,493;5,009;5,009;4,548;4,108;5,493;8,288;11,406;9,195;8,288;7,698;12,726;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/05/2018;;1;1;27,768;1,566;5,637;20;12;1;1;1;0;0;1,943;1,943;1,943;1,943;1,943;1,943;1,943;1,943;1,943;1,75;1,75;1,566;1,566;1,566;1,943;3,897;3,107;5,493;26,944;27,768;16,853;11,406;9,195;7,698;6,834;5,998;5,248;4,776;4,108;4,108;3,691;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/04/2018;;1;1;7,119;1,943;3,584;2;29;1;1;1;0;0;6,834;7,119;6,26;5,743;4,776;4,325;4,108;3,491;3,296;3,107;2,572;2,572;2,572;2,923;5,009;4,325;3,897;3,491;3,296;3,296;2,923;2,572;2,572;2,923;2,572;2,572;2,405;2,088;1,943;1,943;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86420000;1;01/03/2018;;1;1;10,762;1,066;3,797;21;13;1;1;1;0;0;1,943;1,75;1,566;1,566;1,566;1,477;1,39;1,223;1,223;1,223;1,223;1,143;1,066;1,066;2,745;4,548;2,923;1,845;2,572;5,009;10,762;6,553;5,248;6,834;10,127;7,698;6,26;5,248;4,776;8,89;6,26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86420000;1;01/02/2018;;1;1;4,108;1,566;2,487;1;17;1;1;1;0;0;4,108;3,491;3,296;3,107;2,572;2,572;2,572;2,243;1,943;2,088;2,572;2,405;2,088;1,943;1,845;1,657;1,566;1,566;1,845;2,745;3,897;3,107;2,572;1,943;1,845;1,75;3,897;2,405;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
86420000;1;01/01/2018;;1;1;14,427;1,943;5,138;25;19;3;3;3;0;0;7,991;6,834;5,743;4,548;3,491;3,296;2,923;2,572;2,572;2,572;2,572;2,572;2,572;2,405;2,572;2,572;2,243;2,243;1,943;2,572;2,572;11,733;13,399;14,082;14,427;9,814;7,698;5,743;4,776;4,108;4,108;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;
