Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86160000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86160000;1;01/08/2019;;1;1;13,562;3,102;5,935;13;29;1;1;1;0;0;10,583;8,715;10,583;10,233;7,605;6,434;5,877;5,659;5,444;5,338;4,919;4,714;13,562;10,76;7,605;6,209;5,551;5,232;4,919;4,613;4,413;4,216;3,926;3,737;3,46;3,46;3,369;3,19;3,102;3,102;3,46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/07/2019;;1;1;142,01;5,877;16,823;1;23;1;1;1;;0;142,01;62,659;37,951;26,782;19,259;15,576;13,173;11,849;11,118;10,407;9,546;9,044;8,715;9,044;10,233;9,546;8,392;7,605;6,999;6,776;6,547;6,321;5,877;6,098;6,321;6,661;10,583;7,916;6,209;6,321;15,992;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/06/2019;;1;1;70,191;6,892;18,672;1;25;1;1;1;;0;70,191;54,092;43,49;35,59;31,61;27,042;23,749;21,102;19,485;18,142;16,413;14,757;13,562;12,599;12,035;11,118;10,407;9,715;9,21;8,879;8,392;7,916;7,605;7,299;6,892;8,553;19,033;12,035;9,715;9,546;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86160000;1;01/05/2019;;1;1;140,467;14,354;43,74;31;3;1;1;1;;0;24,493;17,269;14,354;133,361;33,009;101,045;43,174;30,782;25,247;22,772;42,859;38,25;30,508;35,009;32,166;27,826;28,887;24,743;23,749;20,635;17,922;16,839;17,922;21,102;54,092;31,888;24,743;135,375;64,137;81,32;140,467;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/04/2019;;1;1;93,55;6,776;16,327;28;26;1;1;1;;0;7,605;9,21;7,916;7,149;6,892;8,073;15,369;19,033;14,96;12,98;11,299;8,879;7,452;6,999;9,377;14,96;33,575;19,942;15,992;11,849;9,887;8,715;8,232;7,76;7,299;6,776;26,266;93,55;41,299;30,508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
86160000;1;01/03/2019;;1;1;56,185;3,926;12,568;10;5;1;1;1;;0;6,999;5,659;4,919;4,314;3,926;8,553;11,849;8,392;17,703;56,185;26,266;22,289;19,942;15,992;13,562;10,233;8,392;8,553;19,485;15,784;11,665;9,546;12,789;15,164;12,035;9,21;6,999;6,209;5,877;5,659;5,444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86160000;1;01/02/2019;;1;1;17,269;4,119;8,083;26;10;1;1;1;0;0;4,613;8,232;11,665;8,553;8,392;6,892;6,098;4,919;4,314;4,119;6,776;12,789;7,605;6,547;5,987;5,659;5,127;5,023;9,546;11,118;11,849;8,392;6,098;5,232;12,789;17,269;11,849;8,879;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
86160000;1;01/01/2019;;1;1;39,763;3,737;10,416;19;2;1;1;1;0;0;4,817;3,737;4,022;5,659;8,879;6,661;5,659;5,444;9,887;11,299;10,583;10,233;8,879;10,583;8,553;9,21;8,232;22,772;39,763;24,244;18,142;15,576;13,173;12,599;9,715;7,605;6,547;5,659;4,919;4,613;5,232;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/12/2018;;1;1;112,964;3,737;14,083;20;13;1;1;1;0;0;19,942;14,555;16,413;11,299;8,073;6,661;5,987;5,444;4,919;4,613;4,314;4,022;3,737;4,314;4,613;12,409;7,149;7,299;15,992;112,964;32,727;39,763;23,258;13,956;10,233;8,392;8,073;7,916;6,547;5,767;5,232;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/11/2018;;1;1;133,361;7,299;25,935;1;22;1;1;1;;0;133,361;67,136;70,963;75,671;48,011;34,721;28,355;24,743;21,811;19,942;17,269;14,757;13,173;12,221;11,299;10,233;8,879;12,035;19,033;14,354;10,583;7,299;7,299;8,553;25,754;17,922;12,035;8,879;9,715;12,035;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86160000;1;01/10/2018;;1;1;309,645;8,715;57,45;31;25;1;1;1;;0;31,61;52,032;300,326;107,395;64,137;50,34;39,458;33,292;27,564;23,749;20,868;19,259;65,629;45,405;31,61;25,754;20,635;17,269;14,757;13,173;11,299;10,583;9,715;9,21;8,715;9,546;212,308;93,117;61,56;40,99;309,645;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
