Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86401000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86401000;1;01/11/2017;;1;1;;;;;;0;0;0;0;0;72,7;46,147;59,991;72,7;91,112;111,591;72,7;78,608;104,535;55,648;84,745;48,771;39,903;42,346;39,903;37,531;42,346;54,237;67,022;41,115;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
86401000;1;01/10/2017;;1;1;272,92;10,116;95,569;12;6;1;1;1;0;0;10,632;10,632;11,691;11,423;10,373;10,116;10,894;12,507;12,233;11,691;26,76;272,92;267,699;208,83;182,031;149,054;130,052;130,052;130,052;133,753;126,391;130,052;122,605;115,205;104,535;101,093;108,035;104,535;104,535;104,535;97,709;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86401000;1;01/09/2017;;1;1;12,233;4,234;7,762;1;9;1;1;1;0;0;12,233;10,894;8,902;7,661;7,358;7,058;6,176;5,322;4,234;4,771;5,322;5,888;7,058;8,276;9,219;10,116;11,158;10,632;9,539;8,588;7,661;6,176;4,771;6,467;7,967;8,121;7,661;7,058;7,661;8,902;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86401000;1;01/08/2017;;1;1;25,145;8,902;14,968;14;1;3;3;3;0;0;8,902;9,699;10,632;15,066;18,227;19,357;20,812;20,812;19,071;16,859;16,404;18,227;20,812;25,145;23,242;13,908;11,29;11,025;10,503;11,158;12,097;13,483;14,339;14,483;13,766;13,766;13,201;12,645;12,097;11,691;11,29;3;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;
86401000;1;01/07/2017;;1;1;17,949;7,814;10,983;1;24;3;3;3;0;0;17,949;14,628;12,922;11,826;11,423;9,06;9,378;10,245;10,373;11,158;11,557;11,025;11,29;11,826;12,37;11,557;10,632;11,691;11,961;10,503;9,539;8,902;8,121;7,814;8,432;9,539;10,503;10,763;11,29;10,763;11,423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
86401000;1;01/06/2017;;1;1;1104,92;15,066;204,293;2;30;3;3;3;0;0;1049,186;1104,92;677,578;403,119;415,864;390,565;316,429;330,657;336,433;242,319;149,054;89,499;67,022;59,256;50,787;50,787;35,8;36,95;45,502;46,147;38,117;26,76;28,77;26,269;23,242;21,408;19,071;16,404;15,805;15,066;;;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;;0;
86401000;1;01/05/2017;;1;1;425,548;8,902;73,606;31;1;3;3;3;0;0;8,902;9,699;10,373;10,632;10,894;11,158;11,826;12,645;13,201;13,062;14,483;15,656;16,104;18,788;24,823;23,242;21,408;21,109;30,851;42,346;83,189;135,622;128,221;154,996;72,7;36,95;115,205;190,767;237,389;360,013;425,548;;;;;;;3;3;3;3;3;;;;;;;;;;;;;;;;3;3;3;3;3;
86401000;1;01/04/2017;;1;1;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;10,503;9,988;10,632;11,025;8,276;7,509;9,988;171,386;218,154;175,607;9,988;7,814;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;3;3;;0;
86401000;1;01/03/2017;;1;1;;;;;;0;0;0;0;0;5,045;5,183;4,635;6,176;8,902;10,503;9,539;8,902;9,699;10,632;11,826;11,423;11,025;10,632;12,783;19,357;32,46;30,324;24,823;22,932;20,812;17,4;16,404;15,507;14,483;12,922;11,691;10,373;8,276;7,358;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86401000;1;01/02/2017;;1;1;11,158;5,322;8,108;17;28;2;2;2;0;0;8,121;7,814;7,058;7,058;7,661;8,588;9,539;10,245;9,539;8,588;9,219;10,116;10,894;10,245;9,378;10,116;11,158;10,245;7,509;7,208;6,909;6,467;5,745;5,603;5,463;5,745;5,463;5,322;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;0;0;0;
